T,X,V
3.78667,0.450649,1.02086
3.8,0.463829,0.95593
3.81333,0.476134,0.889564
3.82667,0.487545,0.821886
3.84,0.498045,0.753019
3.85333,0.507621,0.683092
3.86667,0.516257,0.612232
3.88,0.523943,0.540569
3.89333,0.530669,0.468233
3.90667,0.536427,0.395355
3.92,0.54121,0.322067
3.93333,0.545014,0.248499
3.94667,0.547836,0.174785
3.96,0.549675,0.101055
3.97333,0.550532,0.0274403
3.98667,0.550408,-0.0459294
4,0.549308,-0.118925
4.01333,0.547239,-0.191418
4.02667,0.544207,-0.263282
4.04,0.540221,-0.334392
4.05333,0.535294,-0.404625
4.06667,0.529436,-0.47386
4.08,0.522662,-0.541978
4.09333,0.514989,-0.608862
4.10667,0.506432,-0.6744
4.12,0.497011,-0.738479
4.13333,0.486746,-0.800993
4.14667,0.475659,-0.861836
4.16,0.463772,-0.920907
4.17333,0.451109,-0.978109
4.18667,0.437697,-1.03335
4.2,0.423563,-1.08653
4.21333,0.408733,-1.13758
4.22667,0.393237,-1.1864
4.24,0.377106,-1.23292
4.25333,0.36037,-1.27707
4.26667,0.343061,-1.31878
4.28,0.325213,-1.35799
4.29333,0.30686,-1.39462
4.30667,0.288035,-1.42864
4.32,0.268774,-1.45999
4.33333,0.249114,-1.48862
4.34667,0.22909,-1.5145
4.36,0.20874,-1.53758
4.37333,0.1881,-1.55785
4.38667,0.16721,-1.57527
4.4,0.146106,-1.58983
4.41333,0.124827,-1.60151
4.42667,0.103412,-1.61031
4.44,0.0818983,-1.61621
4.45333,0.0603256,-1.61922
4.46667,0.038732,-1.61934
4.48,0.0171559,-1.6166
4.49333,-0.00436455,-1.61099
4.50667,-0.0257913,-1.60255
4.52,-0.0470868,-1.5913
4.53333,-0.0682137,-1.57728
4.54667,-0.0891353,-1.56051
4.56,-0.109815,-1.54104
4.57333,-0.130218,-1.51891
4.58667,-0.150308,-1.49418
4.6,-0.170051,-1.46689
4.61333,-0.189414,-1.43712
4.62667,-0.208363,-1.40491
4.64,-0.226868,-1.37034
4.65333,-0.244896,-1.33347
4.66667,-0.262417,-1.29439
4.68,-0.279403,-1.25317
4.69333,-0.295826,-1.20988
4.70667,-0.311658,-1.16463
4.72,-0.326874,-1.11749
4.73333,-0.34145,-1.06855
4.74667,-0.355361,-1.01792
4.76,-0.368587,-0.965679
4.77333,-0.381106,-0.911936
4.78667,-0.392899,-0.856789
4.8,-0.403948,-0.800343
4.81333,-0.414236,-0.742703
4.82667,-0.423749,-0.683975
4.84,-0.432471,-0.624268
4.85333,-0.440392,-0.563692
4.86667,-0.4475,-0.502358
4.88,-0.453785,-0.440377
4.89333,-0.459241,-0.377863
4.90667,-0.46386,-0.314928
4.92,-0.467637,-0.251685
