T,X,V
4.29333,0.531572,-2.67849
4.30667,0.495397,-2.74697
4.32,0.458341,-2.81056
4.33333,0.420471,-2.86915
4.34667,0.381853,-2.92265
4.36,0.342557,-2.97095
4.37333,0.302651,-3.01397
4.38667,0.262208,-3.05163
4.4,0.221298,-3.08387
4.41333,0.179996,-3.11063
4.42667,0.138373,-3.13186
4.44,0.0965041,-3.14752
4.45333,0.0544638,-3.15758
4.46667,0.0123268,-3.16204
4.48,-0.0298322,-3.16087
4.49333,-0.0719381,-3.15408
4.50667,-0.113916,-3.14169
4.52,-0.155692,-3.12372
4.53333,-0.197191,-3.10019
4.54667,-0.238339,-3.07115
4.56,-0.279064,-3.03665
4.57333,-0.319292,-2.99675
4.58667,-0.358953,-2.95153
4.6,-0.397976,-2.90106
4.61333,-0.436292,-2.84543
4.62667,-0.473832,-2.78475
4.64,-0.51053,-2.71912
4.65333,-0.54632,-2.64865
4.66667,-0.58114,-2.57347
4.68,-0.614926,-2.49372
4.69333,-0.647619,-2.40954
4.70667,-0.679161,-2.32108
4.72,-0.709496,-2.22849
4.73333,-0.73857,-2.13193
4.74667,-0.766331,-2.03159
4.76,-0.79273,-1.92764
4.77333,-0.81772,-1.82026
4.78667,-0.841256,-1.70965
4.8,-0.863297,-1.59599
4.81333,-0.883803,-1.4795
4.82667,-0.902738,-1.36038
4.84,-0.920069,-1.23884
4.85333,-0.935764,-1.1151
4.86667,-0.949796,-0.989379
4.88,-0.96214,-0.861898
4.89333,-0.972773,-0.732885
4.90667,-0.981678,-0.602569
4.92,-0.988837,-0.471181
4.93333,-0.994239,-0.338957
4.94667,-0.997873,-0.20613
4.96,-0.999734,-0.0729362
4.97333,-0.999818,0.060387
4.98667,-0.998124,0.193603
5,-0.994656,0.326475
5.01333,-0.989421,0.458766
5.02667,-0.982426,0.590242
5.04,-0.973686,0.720669
5.05333,-0.963214,0.849814
5.06667,-0.951031,0.97745
5.08,-0.937157,1.10335
5.09333,-0.921617,1.22728
5.10667,-0.904439,1.34904
5.12,-0.885653,1.4684
5.13333,-0.865293,1.58514
5.14667,-0.843395,1.69907
5.16,-0.819998,1.80998
5.17333,-0.795143,1.91767
5.18667,-0.768875,2.02196
5.2,-0.74124,2.12265
5.21333,-0.712288,2.21956
5.22667,-0.682069,2.31253
5.24,-0.650639,2.40139
5.25333,-0.618051,2.48599
5.26667,-0.584365,2.56616
5.28,-0.549641,2.64177
5.29333,-0.513939,2.71269
5.30667,-0.477324,2.77878
5.32,-0.43986,2.83993
5.33333,-0.401615,2.89604
5.34667,-0.362655,2.947
5.36,-0.323051,2.99272
5.37333,-0.282873,3.03312
5.38667,-0.242192,3.06813
5.4,-0.20108,3.09769
5.41333,-0.159611,3.12174
5.42667,-0.117859,3.14024
5.44,-0.0758965,3.15316
5.45333,-0.0337994,3.16047
5.46667,0.00835773,3.16217
5.48,0.0505,3.15824
5.49333,0.0925526,3.1487
5.50667,0.134441,3.13357
5.52,0.17609,3.11286
5.53333,0.217426,3.08663
5.54667,0.258375,3.0549
5.56,0.298866,3.01775
5.57333,0.338825,2.97523
5.58667,0.378182,2.92742
5.6,0.416866,2.87441
5.61333,0.45481,2.81629
5.62667,0.491945,2.75316
5.64,0.528206,2.68514
5.65333,0.563527,2.61235
5.66667,0.597848,2.53491
5.68,0.631105,2.45297
5.69333,0.663241,2.36667
5.70667,0.694198,2.27616
5.72,0.72392,2.1816
5.73333,0.752356,2.08317
5.74667,0.779455,1.98103
5.76,0.805168,1.87538
5.77333,0.82945,1.76639
5.78667,0.852258,1.65426
5.8,0.873551,1.53918
5.81333,0.893291,1.42138
5.82667,0.911443,1.30104
5.84,0.927975,1.1784
5.85333,0.942858,1.05366
5.86667,0.956064,0.927044
5.88,0.967571,0.798783
5.89333,0.977359,0.669102
5.90667,0.985409,0.538231
5.92,0.991707,0.406404
5.93333,0.996243,0.273854
5.94667,0.999008,0.140818
5.96,0.999997,0.00753116
5.97333,0.999209,-0.125769
5.98667,0.996644,-0.258846
6,0.992308,-0.391462
