T,X,V
5.69333,-0.708012,2.84762
5.70667,-0.669287,2.95895
5.72,-0.629166,3.05704
5.73333,-0.587821,3.14275
5.74667,-0.54541,3.21698
5.76,-0.502081,3.28069
5.77333,-0.457967,3.33488
5.78667,-0.413189,3.3805
5.8,-0.367855,3.41849
5.81333,-0.32206,3.44974
5.82667,-0.275888,3.47505
5.84,-0.229415,3.49515
5.85333,-0.182705,3.51066
5.86667,-0.135815,3.5221
5.88,-0.0887981,3.52989
5.89333,-0.0416999,3.5343
5.90667,0.00543571,3.53551
5.92,0.0525664,3.53357
5.93333,0.0996499,3.5284
5.94667,0.146642,3.5198
5.96,0.193495,3.50746
5.97333,0.240156,3.49094
5.98667,0.286565,3.4697
6,0.332657,3.44309
6.01333,0.378354,3.41036
6.02667,0.423569,3.37069
6.04,0.468204,3.32318
6.05333,0.512148,3.26688
6.06667,0.555278,3.20083
6.08,0.597456,3.12404
6.09333,0.638533,3.03555
6.10667,0.678348,2.93447
6.12,0.716726,2.82
6.13333,0.753485,2.69144
6.14667,0.788433,2.54828
6.16,0.821373,2.3902
6.17333,0.852105,2.21712
6.18667,0.88043,2.02921
6.2,0.906153,1.82694
6.21333,0.929088,1.61107
6.22667,0.949059,1.38267
6.24,0.965909,1.1431
6.25333,0.9795,0.894006
6.26667,0.989716,0.637269
6.28,0.996469,0.374985
6.29333,0.9997,0.109396
6.30667,0.999382,-0.157162
6.32,0.995516,-0.422328
6.33333,0.988136,-0.683779
6.34667,0.977308,-0.939294
6.36,0.963124,-1.18681
6.37333,0.945703,-1.4245
6.38667,0.925188,-1.65074
6.4,0.90174,-1.86424
6.41333,0.875537,-2.06398
6.42667,0.846765,-2.24925
6.44,0.815623,-2.41965
6.45333,0.782308,-2.57504
6.46667,0.747021,-2.71555
6.48,0.709958,-2.84154
6.49333,0.671309,-2.95356
6.50667,0.631255,-3.05232
6.52,0.589969,-3.13864
6.53333,0.547609,-3.21344
6.54667,0.504324,-3.27767
6.56,0.460248,-3.33231
6.57333,0.415501,-3.37835
6.58667,0.370192,-3.41671
6.6,0.324419,-3.44829
6.61333,0.278265,-3.47388
6.62667,0.231805,-3.49423
6.64,0.185105,-3.50997
6.65333,0.138224,-3.52161
6.66667,0.0912123,-3.52957
6.68,0.0441171,-3.53415
6.69333,-0.00301755,-3.53553
6.70667,-0.0501495,-3.53375
6.72,-0.0972365,-3.52875
6.73333,-0.144234,-3.52033
6.74667,-0.191095,-3.50819
6.76,-0.237768,-3.4919
6.77333,-0.284192,-3.47091
6.78667,-0.330302,-3.44459
6.8,-0.376021,-3.4122
6.81333,-0.421263,-3.3729
6.82667,-0.46593,-3.32582
6.84,-0.509913,-3.27
6.85333,-0.553087,-3.20447
6.86667,-0.595318,-3.12825
6.88,-0.636455,-3.04039
6.89333,-0.676339,-2.93998
6.90667,-0.714795,-2.82621
6.92,-0.751642,-2.69838
6.93333,-0.786687,-2.55598
6.94667,-0.819735,-2.39867
6.96,-0.850585,-2.22636
6.97333,-0.879039,-2.0392
6.98667,-0.9049,-1.83766
7,-0.927982,-1.62246
7.01333,-0.94811,-1.39467
7.02667,-0.965123,-1.15564
7.04,-0.978884,-0.906987
7.05333,-0.989275,-0.650593
7.06667,-0.996208,-0.38854
7.08,-0.999621,-0.123064
7.09333,-0.999485,0.143502
7.10667,-0.9958,0.408796
7.12,-0.988599,0.670493
7.13333,-0.977946,0.926364
7.14667,-0.963931,1.17434
7.16,-0.946674,1.41257
7.17333,-0.926314,1.63943
7.18667,-0.903012,1.85362
7.2,-0.876945,2.05408
7.21333,-0.848301,2.24011
7.22667,-0.817275,2.41127
7.24,-0.784067,2.56743
7.25333,-0.748876,2.7087
7.26667,-0.711899,2.83542
7.28,-0.673327,2.94815
7.29333,-0.633341,3.04756
7.30667,-0.592114,3.1345
7.32,-0.549806,3.20986
7.33333,-0.506565,3.27461
7.34667,-0.462526,3.32973
7.36,-0.417811,3.37618
7.37333,-0.372529,3.41492
7.38667,-0.326777,3.44682
7.4,-0.28064,3.4727
7.41333,-0.234195,3.49331
7.42667,-0.187506,3.50926
7.44,-0.140633,3.5211
7.45333,-0.0936263,3.52925
7.46667,-0.0465344,3.534
7.48,0.00059932,3.53553
7.49333,0.0477325,3.53392
7.50667,0.0948228,3.52908
7.52,0.141826,3.52085
7.53333,0.188696,3.50891
7.54667,0.235379,3.49284
7.56,0.281817,3.47211
7.57333,0.327945,3.44608
7.58667,0.373686,3.41402
7.6,0.418955,3.3751
7.61333,0.463654,3.32844
7.62667,0.507675,3.27309
7.64,0.550894,3.20808
7.65333,0.593176,3.13244
7.66667,0.634374,3.04519
7.68,0.674326,2.94545
7.69333,0.71286,2.83238
7.70667,0.749794,2.70529
7.72,0.784936,2.56365
7.73333,0.818091,2.40711
7.74667,0.849059,2.23556
7.76,0.87764,2.04916
7.77333,0.903639,1.84834
7.78667,0.926868,1.63382
7.8,0.947151,1.40665
7.81333,0.964329,1.16815
7.82667,0.978259,0.919948
7.84,0.988826,0.663902
7.85333,0.995937,0.402085
7.86667,0.999532,0.13673
7.88,0.999578,-0.129838
7.89333,0.996075,-0.395255
7.90667,0.989053,-0.657191
7.92,0.978575,-0.913413
7.93333,0.96473,-1.16184
7.94667,0.947636,-1.40061
7.96,0.927431,-1.6281
7.97333,0.904276,-1.84295
7.98667,0.878346,-2.04414
8,0.84983,-2.23093
8.01333,0.818921,-2.40286
8.02667,0.78582,-2.55979
8.04,0.750726,-2.70181
8.05333,0.713837,-2.82927
8.06667,0.675342,-2.94269
8.08,0.635424,-3.04277
8.09333,0.594257,-3.13033
8.10667,0.552,-3.20626
8.12,0.508804,-3.27153
8.13333,0.464802,-3.32712
8.14667,0.420119,-3.374
8.16,0.374864,-3.4131
8.17333,0.329134,-3.44533
8.18667,0.283015,-3.47151
8.2,0.236584,-3.49237
8.21333,0.189906,-3.50855
8.22667,0.143041,-3.52059
8.24,0.0960402,-3.52891
8.25333,0.0489516,-3.53383
8.26667,0.00181896,-3.53553
8.28,-0.0453152,-3.53408
8.29333,-0.0924088,-3.52941
8.30667,-0.139418,-3.52136
8.32,-0.186295,-3.50962
8.33333,-0.232989,-3.49378
8.34667,-0.279442,-3.4733
8.36,-0.325587,-3.44756
8.37333,-0.37135,-3.41582
8.38667,-0.416646,-3.37728
8.4,-0.461377,-3.33104
8.41333,-0.505435,-3.27616
8.42667,-0.548698,-3.21167
8.44,-0.591032,-3.13659
8.45333,-0.632289,-3.04997
8.46667,-0.672309,-2.95088
8.48,-0.710921,-2.83851
8.49333,-0.747941,-2.71216
8.50667,-0.78318,-2.57127
8.52,-0.816442,-2.4155
8.53333,-0.847527,-2.24473
8.54667,-0.876235,-2.05908
8.56,-0.902371,-1.85898
8.57333,-0.925747,-1.64514
8.58667,-0.946185,-1.41859
8.6,-0.963525,-1.18064
8.61333,-0.977625,-0.932888
8.62667,-0.988367,-0.677196
8.64,-0.995658,-0.415622
8.65333,-0.999434,-0.150392
8.66667,-0.999662,0.116171
8.68,-0.996341,0.381704
8.69333,-0.989498,0.643874
8.70667,-0.979195,0.900442
8.72,-0.965521,1.14932
8.73333,-0.94859,1.38862
8.74667,-0.928541,1.61672
8.76,-0.905533,1.83226
8.77333,-0.879741,2.03417
8.78667,-0.851352,2.2217
8.8,-0.820562,2.3944
8.81333,-0.787568,2.5521
8.82667,-0.752572,2.69488
8.84,-0.71577,2.82308
8.85333,-0.677353,2.93721
8.86667,-0.637504,3.03795
8.88,-0.596396,3.12613
8.89333,-0.554192,3.20264
8.90667,-0.51104,3.26843
8.92,-0.467077,3.32449
8.93333,-0.422426,3.37179
8.94667,-0.377198,3.41127
8.96,-0.33149,3.44383
8.97333,-0.285389,3.4703
8.98667,-0.238972,3.49142
9,-0.192306,3.50782
9.01333,-0.145449,3.52006
9.02667,-0.0984539,3.52857
9.04,-0.0513687,3.53366
9.05333,-0.0042373,3.53552
9.06667,0.0428978,3.53423
9.08,0.0899945,3.52973
9.09333,0.137009,3.52186
9.10667,0.183894,3.51032
9.12,0.230599,3.4947
9.13333,0.277066,3.47447
9.14667,0.323229,3.44902
9.16,0.369013,3.41761
9.17333,0.414335,3.37943
9.18667,0.459098,3.33361
9.2,0.503193,3.2792
9.21333,0.5465,3.21523
9.22667,0.588886,3.14072
9.24,0.630202,3.05471
9.25333,0.670289,2.95628
9.26667,0.708977,2.84461
9.28,0.746083,2.71899
9.29333,0.781419,2.57886
9.30667,0.814787,2.42386
9.32,0.845988,2.25385
9.33333,0.874823,2.06896
9.34667,0.901096,1.86959
9.36,0.924618,1.65643
9.37333,0.945211,1.4305
9.38667,0.962713,1.1931
9.4,0.976983,0.945808
9.41333,0.987899,0.690474
9.42667,0.995369,0.42915
9.44,0.999326,0.164051
9.45333,0.999737,-0.102501
9.46667,0.996597,-0.368144
9.48,0.989934,-0.630542
9.49333,0.979807,-0.88745
9.50667,0.966303,-1.13677
9.52,0.949535,-1.37661
9.53333,0.929643,-1.60532
9.54667,0.906782,-1.82152
9.56,0.881129,-2.02415
9.57333,0.852869,-2.21244
9.58667,0.822197,-2.38591
9.6,0.789311,-2.54437
9.61333,0.754413,-2.68792
9.62667,0.717699,-2.81685
9.64,0.67936,-2.93168
9.65333,0.63958,-3.0331
9.66667,0.598533,-3.1219
9.68,0.556382,-3.19898
9.69333,0.513275,-3.2653
9.70667,0.46935,-3.32183
9.72,0.424732,-3.36956
9.73333,0.37953,-3.40942
9.74667,0.333845,-3.44232
9.76,0.287763,-3.46908
9.77333,0.24136,-3.49045
9.78667,0.194705,-3.50709
9.8,0.147856,-3.51953
9.81333,0.100867,-3.52822
9.82667,0.0537857,-3.53348
9.84,0.00665568,-3.5355
