T,X,V
3.56,0.65657,0.0705315
3.57333,0.65684,-0.0300084
3.58667,0.655772,-0.130017
3.6,0.653377,-0.229065
3.61333,0.64967,-0.326736
3.62667,0.644672,-0.422627
3.64,0.638409,-0.516359
3.65333,0.630913,-0.607582
3.66667,0.62222,-0.695973
3.68,0.612368,-0.781246
3.69333,0.601402,-0.863149
3.70667,0.589367,-0.94147
3.72,0.576312,-1.01604
3.73333,0.56229,-1.08671
3.74667,0.547351,-1.1534
3.76,0.53155,-1.21604
3.77333,0.514941,-1.27462
3.78667,0.497579,-1.32913
3.8,0.479516,-1.37962
3.81333,0.460806,-1.42616
3.82667,0.441502,-1.46883
3.84,0.421654,-1.50774
3.85333,0.401312,-1.54302
3.86667,0.380523,-1.5748
3.88,0.359332,-1.60325
3.89333,0.337784,-1.6285
3.90667,0.315919,-1.65072
3.92,0.293777,-1.67008
3.93333,0.271395,-1.68673
3.94667,0.248809,-1.70082
3.96,0.226051,-1.71251
3.97333,0.203152,-1.72193
3.98667,0.180142,-1.72921
4,0.157049,-1.73449
4.01333,0.133898,-1.73786
4.02667,0.110714,-1.73943
4.04,0.0875206,-1.73928
4.05333,0.0643405,-1.73747
4.06667,0.0411951,-1.73408
4.08,0.0181053,-1.72913
4.09333,-0.00490843,-1.72267
4.10667,-0.0278259,-1.7147
4.12,-0.0506271,-1.70523
4.13333,-0.073292,-1.69425
4.14667,-0.0958004,-1.68174
4.16,-0.118131,-1.66766
4.17333,-0.140264,-1.65197
4.18667,-0.162177,-1.63462
4.2,-0.183846,-1.61554
4.21333,-0.20525,-1.59467
4.22667,-0.226363,-1.57193
4.24,-0.247159,-1.54725
4.25333,-0.267614,-1.52053
4.26667,-0.287698,-1.49171
4.28,-0.307383,-1.46069
4.29333,-0.326639,-1.4274
4.30667,-0.345436,-1.39175
4.32,-0.363742,-1.35369
4.33333,-0.381524,-1.31316
4.34667,-0.398748,-1.27009
4.36,-0.415381,-1.22446
4.37333,-0.431389,-1.17624
4.38667,-0.446736,-1.12542
4.4,-0.461389,-1.07201
4.41333,-0.475312,-1.01605
4.42667,-0.488472,-0.957576
4.44,-0.500836,-0.896665
4.45333,-0.512373,-0.833408
4.46667,-0.523051,-0.767919
4.48,-0.532841,-0.700335
4.49333,-0.541718,-0.630813
4.50667,-0.549655,-0.559534
4.52,-0.556632,-0.486694
4.53333,-0.562628,-0.412511
4.54667,-0.567627,-0.337217
4.56,-0.571616,-0.261058
4.57333,-0.574586,-0.184291
4.58667,-0.576529,-0.107182
4.6,-0.577444,-0.0300022
4.61333,-0.57733,0.0469763
4.62667,-0.576193,0.123481
4.64,-0.574041,0.199244
4.65333,-0.570884,0.274004
4.66667,-0.566739,0.347511
4.68,-0.561624,0.419525
4.69333,-0.55556,0.489825
4.70667,-0.548571,0.558204
4.72,-0.540684,0.624476
4.73333,-0.531928,0.688473
4.74667,-0.522335,0.75005
4.76,-0.511938,0.809084
4.77333,-0.500771,0.865473
4.78667,-0.488871,0.919138
4.8,-0.476273,0.970022
4.81333,-0.463016,1.01809
4.82667,-0.449137,1.06332
4.84,-0.434674,1.10571
4.85333,-0.419664,1.14529
4.86667,-0.404145,1.18208
4.88,-0.388154,1.21614
4.89333,-0.371727,1.24752
4.90667,-0.354898,1.27629
4.92,-0.337703,1.30253
4.93333,-0.320175,1.32633
4.94667,-0.302345,1.34777
4.96,-0.284244,1.36695
4.97333,-0.265903,1.38395
4.98667,-0.247348,1.39888
5,-0.228608,1.41183
5.01333,-0.209708,1.42288
5.02667,-0.190673,1.43212
5.04,-0.171526,1.43964
5.05333,-0.152289,1.44552
5.06667,-0.132985,1.44982
5.08,-0.113634,1.45261
5.09333,-0.0942555,1.45396
5.10667,-0.0748682,1.4539
5.12,-0.0554908,1.45249
5.13333,-0.0361411,1.44976
5.14667,-0.0168364,1.44574
5.16,0.00240623,1.44044
5.17333,0.0215699,1.43389
5.18667,0.0406379,1.42609
5.2,0.0595935,1.41704
5.21333,0.07842,1.40672
5.22667,0.0971004,1.39513
5.24,0.115618,1.38224
5.25333,0.133954,1.36803
5.26667,0.152092,1.35246
5.28,0.170014,1.33551
5.29333,0.1877,1.31713
5.30667,0.205131,1.29729
5.32,0.222287,1.27594
5.33333,0.239149,1.25304
5.34667,0.255695,1.22854
5.36,0.271903,1.20241
5.37333,0.287752,1.17461
5.38667,0.303218,1.14511
5.4,0.31828,1.11386
5.41333,0.332913,1.08086
5.42667,0.347095,1.04606
5.44,0.360801,1.00948
5.45333,0.374006,0.971095
5.46667,0.386688,0.93092
5.48,0.398823,0.888968
5.49333,0.410386,0.845268
5.50667,0.421356,0.799856
5.52,0.431709,0.752784
